gender,birth_year,c_educ,c_income,c_health,c_hukou,c_sc,p_sc,f_educ
1,1987,13,120000,4,5,5,1,6
2,1985,10,0,4,1,6,5,6
2,1982,13,400000,5,3,7,6,98
1,1993,11,0,4,1,6,4,6
2,1989,4,60000,5,1,5,2,4
1,1995,12,0,5,3,4,6,6
2,1994,10,100000,5,5,5,6,6
1,1997,7,30000,5,1,3,3,4
2,1990,12,70000,5,3,5,5,6
2,1989,12,200000,5,1,4,7,9
2,1993,12,0,5,1,7,7,3
2,1993,12,60000,5,3,5,4,4
2,1980,12,0,5,3,6,4,4
2,1996,12,8500,5,5,4,4,4
1,1982,10,150000,4,5,5,5,10
2,1991,4,0,3,2,4,5,3
2,1993,13,0,4,5,6,5,9
1,1982,12,100000,4,5,4,3,9
1,1982,13,300000,5,5,7,6,11
2,1989,12,60000,4,3,98,5,4
2,1994,13,0,5,1,4,4,6
2,1997,8,3000,4,5,3,5,4
2,1992,13,100000,4,5,5,4,6
2,1995,12,2000,3,5,5,5,8
2,1988,10,150000,4,5,6,5,4
1,1987,13,300000,5,1,5,3,6
1,1985,11,100000,3,5,5,5,6
1,1984,12,400000,3,1,5,4,4
1,1980,12,100000,5,1,2,1,3
2,1994,12,20000,4,5,3,7,12
1,1980,12,70000,3,1,5,5,4
1,1990,7,0,5,1,5,5,3
2,1989,11,60000,4,1,1,10,4
2,1987,12,0,5,5,2,1,6
1,1995,4,0,5,3,5,8,4
1,1980,11,120000,4,5,6,3,5
1,1990,7,50000,4,3,2,3,4
2,1986,12,0,4,3,3,3,13
2,1982,12,100000,5,3,5,5,4
1,1988,6,100000,5,1,4,3,4
2,1999,4,9999999,5,1,98,99,3
2,1983,10,700000,3,1,5,2,6
2,1987,4,0,5,1,3,4,4
2,1980,5,0,4,1,3,9,4
2,1980,10,150000,5,5,6,6,4
1,1981,13,220000,4,99,7,2,6
1,1988,12,80000,4,1,3,1,3
2,1987,13,170000,3,5,4,5,12
1,1981,13,100000,5,1,4,2,6
1,1993,12,80000,4,5,6,5,3
2,1988,13,80000,4,1,5,5,4
2,1997,12,0,4,4,4,4,6
1,1983,13,150000,4,1,8,6,9
1,1988,10,0,4,1,3,3,6
2,1982,9,0,3,5,4,4,4
2,1985,12,100000,4,5,5,5,4
2,1983,4,9999999,5,1,3,2,4
2,1996,12,0,4,5,7,7,5
2,1994,6,36000,3,1,4,5,7
1,1987,13,150000,4,5,7,8,11
1,1986,7,36000,4,5,5,3,6
1,1998,12,50000,5,5,6,8,4
1,1991,10,200000,1,1,1,1,4
2,1987,4,20000,5,1,4,4,3
2,1994,12,9999997,4,5,2,7,12
2,1988,13,250000,5,5,6,6,12
2,1987,12,150000,3,5,5,3,6
2,1992,12,150000,5,5,3,3,6
1,1992,11,120000,3,5,3,2,11
1,1982,4,0,4,1,5,6,3
2,1988,12,136400,5,5,6,6,98
2,1987,11,120000,5,5,5,5,9
1,1985,12,400000,4,5,7,6,6
1,1987,12,200000,2,5,4,3,6
1,1990,13,48000,3,5,3,3,10
2,1992,13,90000,4,5,6,7,12
1,1984,12,300000,4,5,6,4,6
2,1983,12,1000000,3,5,6,7,6
2,1986,9,45000,3,4,3,5,6
1,1983,7,100000,4,1,1,5,3
1,1997,12,0,3,5,6,6,6
2,1984,11,125000,5,1,6,6,6
2,1986,9,65000,2,4,3,2,12
1,1982,10,100000,5,1,4,3,3
2,1984,13,9888888,5,5,5,5,12
1,1983,4,50000,3,5,5,7,6
2,1984,11,150000,2,5,2,2,4
1,1981,12,110000,5,1,5,2,4
1,1988,10,100000,3,5,5,5,6
1,1986,12,150000,3,5,6,5,12
1,1984,10,25000,4,4,1,2,11
1,1984,12,400000,4,1,6,4,3
1,1998,12,9999997,4,5,6,6,12
2,1987,12,70000,5,1,8,4,4
1,1991,12,150000,4,5,4,4,12
2,1988,6,0,4,1,5,3,4
1,1982,13,400000,4,5,6,5,12
1,1985,12,200000,3,4,3,2,6
1,1993,12,0,4,2,3,3,6
2,1987,13,100000,3,5,6,6,98
2,1980,6,10000,5,3,3,7,3
1,1981,7,80000,5,1,2,2,10
2,1990,10,90000,3,1,5,3,6
1,1989,10,90000,5,1,5,5,4
1,1980,6,50000,5,1,7,5,4
1,1984,4,30000,3,1,1,1,3
1,1981,6,100000,5,1,6,1,3
1,1992,5,50000,5,1,4,6,3
2,1989,11,0,4,1,5,2,4
2,1999,3,0,1,1,5,5,4
2,1994,10,30000,5,1,2,1,3
2,1982,7,0,2,2,2,2,3
2,1989,11,54000,3,1,5,3,4
2,1985,6,120000,5,1,6,5,4
2,1992,12,90000,5,5,5,5,12
1,1991,11,60000,4,1,5,3,4
2,1996,12,0,4,3,6,8,7
2,1987,11,120000,4,3,5,2,4
1,1997,12,0,5,4,7,7,9
2,1985,11,12000,5,1,5,4,6
1,1988,7,100000,4,1,2,1,3
2,1984,11,72000,4,1,6,6,6
1,1983,10,220000,4,1,5,3,6
1,1980,5,67000,3,1,6,6,4
2,1983,4,50000,5,3,5,2,6
1,1982,13,200000,3,1,6,4,3
1,1985,11,120000,4,3,3,3,7
2,1986,4,0,4,1,3,3,3
1,1983,4,9999997,5,1,6,5,6
1,1987,4,80000,4,1,4,6,4
1,1985,6,50000,5,1,5,3,6
2,1994,10,18000,4,1,6,6,13
1,1997,12,7000,2,2,5,5,6
2,1983,10,0,3,1,1,3,3
2,1984,10,75000,3,1,4,3,4
2,1994,4,0,3,1,2,2,1
2,1989,10,80000,4,1,5,5,6
2,1991,12,75000,4,1,5,4,4
1,1991,5,60000,4,1,4,3,4
1,1983,6,60000,5,1,1,1,4
2,1995,6,0,3,1,2,1,1
2,1988,12,80000,4,2,4,2,7
1,1994,7,100000,4,5,5,5,12
2,1987,10,30000,4,4,3,2,6
1,1994,12,17000,5,2,2,4,10
2,1987,9,60000,4,4,5,4,7
2,1996,12,9999997,5,4,2,1,6
2,1996,12,0,4,4,5,5,5
1,1991,10,80000,5,3,4,4,4
2,1982,9,80000,2,5,5,5,5
2,1995,7,40000,5,3,4,4,4
2,1995,12,9999997,5,4,3,6,4
1,1990,9,120000,2,2,4,4,6
2,1982,4,5000,4,1,1,1,4
2,1981,10,70000,5,1,5,2,3
2,1993,10,12000,4,2,5,5,1
2,1991,12,100000,4,1,4,2,3
2,1989,8,100000,4,1,4,2,4
2,1984,13,100000,4,1,7,6,6
2,1990,10,40000,4,5,5,4,6
1,1984,6,0,5,1,1,6,3
1,1987,7,100000,3,1,5,4,4
2,1989,4,50000,4,4,5,5,4
1,1996,10,80000,5,3,3,1,4
1,1992,5,80000,4,4,5,4,6
1,1996,6,40000,4,1,2,1,3
2,1988,11,50000,3,5,3,4,7
1,1988,12,800000,5,1,8,5,6
2,1983,6,20000,4,5,5,8,6
1,1998,10,0,5,1,5,5,5
1,1982,12,200000,3,1,5,1,6
2,1998,6,0,5,1,5,4,4
1,1985,4,60000,5,1,3,1,1
1,1989,6,50000,5,1,3,4,4
2,1983,3,8000,4,1,1,1,3
2,1988,4,0,4,1,5,3,6
2,1988,4,10000,4,1,4,3,4
1,1981,3,50000,5,2,5,2,4
1,1989,7,70000,5,1,1,5,4
1,1987,3,9000,3,1,1,1,3
1,1992,6,65000,3,1,4,3,4
2,1989,6,60000,5,1,5,10,3
1,1994,12,3000,5,2,3,5,6
1,1988,6,50000,4,1,3,2,3
1,1988,9,30000,4,1,3,1,3
2,1986,7,36000,5,1,5,3,4
1,1995,4,20000,5,1,5,5,3
2,1981,10,30000,4,2,5,5,4
2,1996,4,35000,5,4,3,3,4
1,1996,12,1000,4,5,6,6,6
1,1983,12,500000,3,2,6,8,7
2,1991,11,150000,4,5,7,4,14
2,1982,10,0,4,1,7,6,6
2,1990,4,0,4,1,5,4,6
2,1984,12,9999999,4,1,6,5,6
2,1983,12,120000,3,5,5,4,3
2,1983,10,0,4,5,6,6,6
2,1990,11,40000,4,1,3,4,6
2,1980,12,100000,3,1,5,5,6
1,1995,12,0,5,1,5,6,4
1,1982,11,100000,5,5,5,3,6
2,1990,12,100000,5,5,5,5,4
2,1987,1,300000,3,5,6,6,10
1,1980,13,200000,3,5,7,6,12
2,1993,12,40000,5,1,3,5,4
2,1987,14,9999999,5,99,2,2,99
2,1985,12,150000,5,4,5,3,10
1,1987,10,130000,5,2,4,2,3
1,1987,13,300000,4,1,6,3,4
1,1988,10,120000,2,5,3,3,10
1,1992,12,40000,5,1,5,4,3
1,1980,4,40000,3,1,1,1,3
2,1985,10,50000,4,5,5,5,6
2,1987,10,100000,3,1,3,4,6
1,1985,6,100000,3,1,5,6,3
1,1982,4,65000,2,1,4,2,3
1,1985,12,180000,2,1,5,3,3
1,1981,4,50000,4,1,1,1,4
2,1990,10,0,4,4,5,7,4
2,1985,4,0,5,1,5,5,1
2,1988,13,10000,5,1,4,2,3
2,1984,11,50000,3,1,5,3,3
1,1987,12,80000,4,5,3,3,12
2,1982,13,150000,4,3,5,5,6
2,1982,5,24000,2,1,1,1,3
1,1996,4,50000,5,1,6,3,3
1,1989,6,36000,5,1,6,6,4
1,1984,7,40000,3,3,3,3,6
2,1989,4,0,4,1,7,7,6
2,1981,7,50000,5,1,1,1,3
2,1983,10,100000,4,1,4,2,4
2,1989,12,60000,5,1,4,2,6
1,1991,10,300000,5,4,1,1,4
2,1983,4,0,3,1,3,4,3
1,1982,4,50000,5,1,5,1,3
1,1980,9,60000,4,1,5,4,3
1,1999,6,0,5,4,1,2,6
1,1994,11,20000,3,2,6,5,4
1,1985,12,90000,3,3,3,2,4
2,1990,7,60000,4,4,5,6,6
2,1993,7,100000,4,1,2,1,4
1,1999,6,0,4,1,5,5,4
2,1986,10,30000,4,1,1,1,3
1,1986,7,45000,3,1,1,5,3
1,1985,10,35000,5,1,5,5,4
2,1990,10,50000,4,1,8,5,4
2,1987,9,48000,4,1,5,4,3
2,1988,7,80000,4,5,9,5,98
1,1995,12,0,5,1,7,7,6
1,1987,4,40000,4,1,4,2,1
1,1993,10,20000,5,5,5,5,4
1,1996,12,0,4,5,2,6,3
1,1984,9,30000,2,5,5,3,4
1,1983,12,120000,5,3,4,4,99
1,1981,12,100000,4,5,4,4,10
2,1981,9,18000,4,4,5,4,3
1,1993,12,36000,4,5,6,5,6
1,1980,12,200000,4,1,6,4,4
2,1995,6,0,5,5,2,1,9
1,1981,9,20000,2,5,3,4,4
2,1986,12,60000,4,1,4,2,6
1,1985,6,20000,2,5,5,7,3
2,1986,7,0,3,5,4,3,6
1,1986,12,100000,4,5,7,5,12
2,1982,12,9999999,4,5,5,5,12
1,1992,12,80000,5,5,4,4,10
1,1981,12,120000,4,5,6,4,98
2,1994,12,0,5,1,2,3,3
1,1983,5,70000,4,1,3,2,4
1,1985,3,20000,4,1,2,1,3
1,1996,12,0,4,5,3,3,4
2,1983,9,60000,5,5,6,4,6
2,1993,12,100000,5,5,7,5,4
2,1985,12,50000,5,5,7,6,4
1,1994,12,0,4,5,5,5,4
1,1989,12,10000,5,4,4,4,3
1,1982,12,85000,3,5,3,2,4
1,1987,12,100000,3,3,5,3,4
1,1996,10,1400,4,5,5,6,1
2,1990,12,70000,4,1,3,1,3
2,1993,12,50000,4,5,5,4,4
2,1993,12,0,5,1,4,3,4
1,1983,10,23500,3,5,2,1,4
1,1995,3,15000,4,1,3,2,1
1,1989,10,70000,4,5,4,3,6
2,1987,12,64000,3,3,5,5,6
1,1989,12,100000,4,2,2,2,4
2,1989,10,24000,2,5,4,3,6
1,1984,10,42000,2,5,3,5,6
2,1986,12,70000,5,1,3,2,6
2,1993,7,24000,3,6,4,6,6
2,1982,12,0,4,5,5,4,6
1,1985,13,80000,3,1,6,4,7
1,1981,12,50000,4,5,5,5,4
2,1982,12,80000,5,5,7,8,4
2,1989,12,200000,4,5,6,6,10
1,1983,13,9999999,5,1,6,5,4
1,1993,12,100000,4,1,2,2,6
2,1992,1,50000,4,5,3,6,6
1,1984,6,60000,4,5,4,4,1
2,1984,10,36000,4,5,6,6,6
2,1992,5,30000,5,5,2,2,4
1,1992,12,100000,5,1,2,5,4
2,1987,4,0,4,1,3,5,4
1,1987,3,25000,5,1,1,1,3
2,1985,10,0,4,2,5,5,6
2,1981,7,60000,4,5,5,5,3
1,1982,4,100000,4,1,5,5,6
1,1992,10,0,5,5,3,3,6
2,1987,10,65000,5,5,4,4,3
1,1982,4,30000,5,4,6,5,4
2,1990,12,100000,5,5,3,2,4
2,1984,12,30000,5,1,4,5,4
2,1984,10,0,3,5,7,7,4
2,1987,13,70000,4,1,6,3,4
2,1997,10,0,4,1,4,5,4
2,1989,7,9999998,5,5,1,1,98
1,1983,4,40000,3,1,5,5,4
2,1983,10,300000,5,5,6,3,4
1,1984,4,70000,3,3,6,7,1
2,1980,5,30000,4,5,4,4,3
2,1986,4,30000,4,1,5,3,3
1,1991,12,160000,5,5,5,5,8
1,1986,4,50000,3,1,1,5,6
1,1980,6,0,3,1,3,10,6
2,1989,10,0,5,2,8,10,4
1,1985,10,70000,3,4,2,3,4
1,1995,12,0,4,1,7,3,4
2,1980,12,50000,3,1,3,1,4
1,1994,7,24000,5,4,8,8,3
1,1991,6,100000,4,5,4,3,4
2,1982,10,40000,5,1,4,6,3
2,1988,12,0,5,1,1,1,3
2,1984,3,0,4,1,1,1,4
1,1983,4,40000,5,1,4,4,3
1,1986,10,70000,4,1,5,1,1
1,1991,4,30000,5,1,1,5,4
2,1981,10,50000,4,2,3,2,1
1,1986,12,55000,5,2,4,4,10
1,1981,7,25000,3,1,2,2,3
2,1980,6,25000,3,1,2,1,3
2,1980,12,60000,5,1,4,3,4
2,1981,7,40000,4,1,4,3,3
1,1982,10,50000,3,1,2,2,4
2,1987,9,0,4,1,2,2,4
1,1981,7,30000,4,1,6,3,4
1,1988,7,50000,5,1,3,4,4
2,1998,4,0,4,1,5,5,8
2,1983,10,20000,2,1,6,6,12
1,1982,9,100000,5,1,4,3,4
2,1987,4,25000,5,1,3,2,4
2,1989,10,30000,4,1,3,3,4
2,1983,11,100000,4,1,3,2,3
2,1983,12,50000,5,1,7,5,6
1,1980,7,40000,4,1,1,1,3
1,1982,10,60000,4,1,5,3,6
1,1981,9,60000,4,1,5,3,3
2,1982,4,30000,2,3,5,2,3
1,1985,3,9999997,3,2,1,1,1
1,1983,6,30000,3,2,3,3,6
1,1983,4,15000,4,5,5,2,4
2,1988,12,0,3,5,5,4,98
2,1988,4,10000,3,1,4,2,4
1,1985,4,30000,5,1,4,1,4
2,1983,3,10000,4,1,6,3,6
2,1986,4,9999997,3,1,4,4,4
2,1981,4,25000,5,1,4,1,3
2,1983,6,9999997,3,1,5,7,14
2,1986,4,0,4,1,4,3,3
2,1996,4,0,3,3,5,5,3
1,1987,6,25000,4,1,3,2,98
2,1987,12,9999997,4,1,6,4,4
1,1998,4,12000,5,1,5,4,4
2,1991,4,0,4,1,3,5,4
1,1987,9,15000,5,1,3,3,6
2,1995,10,5000,3,1,4,3,4
2,1986,4,2000,5,1,5,6,6
2,1996,12,9999997,2,1,4,4,3
2,1988,7,30000,4,1,3,3,4
2,1981,4,9999997,4,1,3,6,3
2,1981,3,10000,3,1,4,3,3
2,1988,4,0,4,1,4,4,98
2,1986,11,40000,5,3,5,7,6
1,1981,10,20000,5,1,5,3,6
2,1996,12,0,4,3,4,4,4
1,1991,10,30000,5,1,5,4,3
2,1986,12,40000,4,3,5,3,6
1,1982,12,100000,5,3,5,5,4
1,1997,12,0,5,3,2,3,6
2,1988,7,50000,4,1,8,2,3
2,1992,1,20000,5,5,6,5,5
1,1989,9,80000,2,5,5,3,6
2,1987,10,0,3,1,3,2,7
1,1986,4,40000,5,1,1,1,4
1,1988,4,24000,5,1,5,5,4
1,1981,4,12000,3,1,1,1,4
2,1983,4,12000,2,1,6,3,3
2,1996,12,500,5,1,4,3,4
1,1981,4,25000,4,1,5,5,4
2,1988,10,20000,5,1,1,4,6
1,1988,4,30000,4,1,2,2,6
1,1982,4,30000,5,1,3,1,4
1,1982,4,30000,3,1,3,3,4
2,1991,4,0,3,1,6,5,3
2,1987,4,0,5,1,5,5,4
1,1988,4,10000,4,1,5,4,4
2,1982,4,40000,5,1,5,3,3
1,1995,4,20000,5,1,5,4,4
2,1993,4,0,5,1,5,5,4
2,1994,9,40000,4,2,5,5,4
1,1983,12,72000,4,5,4,1,11
1,1996,6,0,5,5,5,4,10
1,1990,5,30000,4,3,3,2,4
1,1994,12,18000,3,5,6,4,6
2,1988,10,0,4,1,5,3,4
1,1993,4,9999999,4,5,10,5,6
1,1991,4,30000,5,5,2,2,5
2,1991,4,9999998,5,1,98,98,4
2,1997,4,20000,5,2,6,4,6
2,1987,4,0,4,1,6,4,3
1,1981,9,50000,5,5,5,5,6
1,1992,12,40000,4,5,3,4,10
2,1984,12,100000,4,5,4,3,6
2,1986,13,72000,5,5,4,2,10
2,1997,12,0,3,5,4,3,6
1,1992,12,70000,4,5,3,2,12
2,1998,6,0,4,3,5,4,4
1,1991,13,6000,4,5,5,5,12
2,1989,12,50000,4,5,8,8,7
1,1987,10,100000,3,5,5,3,6
1,1985,12,70000,4,5,5,3,4
2,1997,12,0,5,5,4,4,6
1,1995,12,1700,2,3,2,4,10
2,1993,13,0,5,3,5,5,4
1,1988,6,100000,4,1,5,3,3
2,1994,11,10000,4,4,3,4,6
2,1982,10,0,4,3,4,4,98
1,1984,12,9999999,4,5,7,5,6
1,1994,12,0,4,1,3,2,4
2,1996,12,0,4,1,98,98,3
1,1993,7,30000,4,1,6,7,3
1,1986,10,60000,4,5,3,3,4
1,1995,9,50000,1,5,98,98,6
2,1992,12,40000,5,5,3,2,7
1,1992,13,6000,4,5,3,6,6
1,1990,4,40000,5,1,4,2,3
2,1983,4,9999997,4,1,2,4,4
2,1983,3,9999997,5,1,4,4,4
1,1983,3,9999999,1,1,3,3,1
2,1993,7,4000,5,1,2,2,3
1,1992,10,10000,5,1,4,3,4
2,1989,7,9000,4,1,3,2,4
1,1987,4,40000,5,1,1,1,3
2,1990,10,20000,4,3,4,2,6
2,1987,10,10000,5,1,4,4,6
1,1999,6,9999997,4,3,3,2,4
1,1997,11,9999997,5,3,4,6,4
2,1996,12,9999997,5,1,4,4,4
2,1997,12,9999997,4,3,5,5,9
1,1999,6,9999997,5,3,5,4,12
1,1994,13,9999997,2,3,5,4,3
2,1997,12,9999997,3,3,5,5,4
1,1999,6,9999997,5,1,4,3,4
2,1986,9,9999997,4,1,5,5,4
2,1986,12,9999999,5,3,4,4,4
1,1985,7,60000,4,1,4,5,3
2,1994,12,9999997,3,1,4,2,4
2,1998,12,9999997,5,3,4,5,6
1,1987,10,20000,4,1,5,4,4
2,1987,5,8000,4,1,2,2,5
2,1988,9,9999997,5,3,2,98,98
2,1993,5,10000,5,1,2,2,4
2,1989,4,9999999,5,1,5,3,3
1,1995,7,10000,5,1,1,1,4
1,1980,4,30000,5,1,4,4,1
1,1982,5,100000,4,1,5,3,3
1,1998,11,0,5,3,5,4,9
2,1996,12,2500,4,3,5,8,6
1,1983,12,49200,5,3,4,4,13
1,1985,10,30000,4,1,5,4,6
1,1991,7,50000,5,1,6,4,3
2,1990,10,9999999,5,3,5,5,6
2,1992,7,16800,4,1,5,1,3
2,1997,7,9999997,5,5,4,4,3
1,1985,6,0,5,1,5,3,4
1,1981,12,36000,4,1,5,5,10
2,1997,12,0,5,3,6,6,11
2,1987,5,15000,4,1,3,4,4
2,1981,7,24000,5,1,6,4,4
2,1997,6,9000,5,1,4,4,4
2,1983,4,0,5,1,6,7,4
1,1990,6,40000,5,1,5,4,4
2,1999,6,0,5,1,3,5,4
1,1984,6,40000,4,1,6,5,4
1,1980,1,0,5,1,5,3,4
2,1990,6,0,5,1,6,5,98
2,1990,10,0,3,1,4,4,3
1,1982,12,35000,3,1,7,5,4
1,1988,4,24000,5,1,5,3,4
1,1997,6,25000,4,1,5,4,4
2,1983,4,0,4,1,6,98,3
2,1987,3,45000,3,1,4,3,1
2,1984,11,30000,4,1,7,5,3
1,1995,7,9999997,4,1,5,5,6
1,1982,4,12000,4,1,5,4,1
2,1986,6,60000,4,1,4,5,1
2,1996,10,0,3,2,5,5,4
1,1994,6,30000,4,1,5,4,3
2,1993,7,0,5,1,1,1,4
1,1981,4,8000,5,1,5,4,3
2,1992,3,30000,2,1,3,3,1
1,1991,5,42000,5,1,5,98,4
2,1987,3,0,4,1,2,1,1
2,1984,3,0,5,1,5,2,3
1,1980,4,20000,5,1,5,5,3
1,1989,10,40000,4,1,4,4,4
1,1981,4,10000,5,1,4,2,4
2,1982,4,0,4,1,4,2,3
2,1991,13,300000,3,5,7,6,12
2,1996,12,9999997,4,5,3,3,4
2,1989,12,30000,5,5,6,6,4
1,1990,12,300000,2,5,6,5,12
2,1982,4,60000,4,3,3,3,11
1,1985,12,42000,5,5,1,1,4
1,1980,6,45000,4,5,3,3,6
1,1996,6,36000,5,2,2,2,6
1,1993,4,41000,5,1,98,1,3
2,1989,12,150000,5,5,6,5,11
1,1999,6,9999997,4,5,4,4,5
1,1993,4,40000,4,5,2,2,4
1,1988,12,45000,4,2,6,4,4
1,1991,6,50000,4,5,2,3,4
1,1999,6,9999997,4,5,3,2,4
1,1999,6,9999997,4,5,5,4,12
1,1991,12,9999997,4,5,2,3,4
1,1994,12,9999997,5,5,5,5,6
2,1993,12,30000,4,5,5,4,4
1,1988,12,50000,5,1,8,4,4
1,1989,6,80000,5,3,5,4,4
1,1990,11,80000,3,5,5,5,6
2,1980,3,36000,5,5,4,1,1
2,1992,12,35000,5,4,6,6,4
2,1999,6,9999997,4,5,1,4,3
1,1993,12,30000,5,4,6,5,10
1,1980,11,60000,4,5,5,5,7
2,1988,12,80000,4,5,7,5,6
2,1983,4,35000,2,1,2,3,1
1,1996,10,9999997,4,5,5,5,5
2,1993,4,30000,4,1,4,3,1
2,1993,12,30000,5,5,6,5,6
1,1989,12,50000,4,5,4,2,6
2,1996,10,9999997,4,5,5,4,4
1,1999,6,9999997,5,5,5,5,4
2,1989,12,40000,4,5,4,4,6
1,1994,6,100000,4,4,5,2,99
2,1987,12,9999999,4,5,6,5,6
2,1993,12,0,4,5,5,5,4
1,1995,10,80000,4,5,5,3,6
2,1980,11,80000,3,5,3,3,4
2,1992,10,9999999,4,5,5,5,4
2,1985,6,30000,4,1,3,3,1
1,1993,10,9999997,4,5,5,3,4
2,1992,10,40000,4,5,6,5,4
1,1983,12,150000,5,3,7,6,10
2,1993,12,50000,4,5,3,3,4
1,1985,12,90000,4,5,6,2,6
2,1987,12,70000,5,5,5,3,7
1,1984,12,100000,5,5,5,1,4
1,1987,12,100000,4,5,5,3,4
2,1989,6,0,2,5,6,5,4
2,1991,13,9999997,4,1,4,3,3
1,1990,12,200000,2,5,6,5,4
1,1997,12,9999997,4,5,5,6,5
1,1998,12,9999997,5,5,3,3,4
2,1998,12,9999997,5,1,3,3,4
1,1994,10,30000,4,5,3,3,4
2,1997,12,0,4,5,5,5,7
2,1983,4,20000,5,1,3,2,4
2,1990,10,25000,4,5,3,2,3
1,1997,12,9999997,5,5,5,5,10
1,1996,12,9999997,5,5,4,3,4
2,1995,12,9999997,4,5,5,3,7
1,1990,3,42000,4,1,5,5,4
2,1998,12,0,4,5,6,5,6
1,1999,4,20000,5,1,3,3,3
1,1990,13,30000,4,5,3,2,3
2,1982,4,24000,4,1,3,1,1
