gender,birth_year,c_educ,c_income,c_health,c_hukou,c_sc,p_sc,f_educ
1,1988,9,100000,3,1,7,7,6
1,1984,10,150000,4,5,4,2,6
1,1992,11,170000,3,1,5,3,4
1,1997,10,10000,4,5,5,5,4
1,1996,10,9999997,5,5,3,3,6
1,1988,13,100000,5,5,5,5,7
1,1984,12,90000,5,5,5,5,4
1,1988,4,30000,5,1,3,3,4
2,1987,12,9999999,4,1,2,2,4
2,1982,12,120000,3,5,4,4,6
1,1985,12,9999999,4,3,4,1,6
1,1984,12,150000,3,3,5,7,9
1,1985,6,50000,5,1,3,2,6
2,1995,10,48000,5,5,1,1,6
2,1981,4,20000,4,1,4,2,3
1,1982,6,10000,2,1,3,2,4
2,1990,13,50000,5,5,1,10,12
1,1984,4,70000,4,1,5,5,4
2,1996,6,50000,3,1,5,5,3
2,1991,10,80000,4,5,5,5,4
1,1994,12,30000,4,5,3,1,6
1,1992,5,100000,5,5,6,6,6
2,1985,10,50000,4,5,3,2,6
1,1983,10,60000,4,5,4,7,4
2,1984,13,170000,5,5,5,5,6
2,1995,12,9999999,4,1,5,5,6
1,1991,6,40000,4,1,2,2,3
2,1990,10,50000,5,1,3,2,3
1,1992,6,120000,4,1,2,5,4
1,1990,8,30000,5,1,2,1,4
2,1994,10,10000,5,1,4,4,6
2,1982,12,70000,4,5,6,5,3
2,1993,12,50000,4,5,7,4,7
1,1986,13,9999999,5,5,5,5,11
2,1984,12,100000,4,5,5,5,4
1,1997,6,0,5,5,5,6,12
1,1999,12,0,5,5,4,4,6
1,1980,13,9999999,5,5,5,5,99
2,1985,11,0,4,4,5,5,6
1,1991,12,100000,4,3,5,5,7
1,1982,13,150000,5,5,2,4,3
2,1988,12,50000,4,1,5,3,4
2,1983,12,60000,5,1,4,3,4
2,1995,6,36000,3,5,6,3,6
2,1991,12,100000,5,5,5,5,99
1,1980,13,120000,5,5,4,3,9
2,1982,12,100000,4,5,4,3,6
2,1987,12,180000,4,5,5,4,6
1,1993,11,100000,5,5,4,4,6
2,1981,13,40000,4,2,5,7,4
1,1988,12,80000,4,5,4,4,6
1,1989,12,200000,4,5,6,6,10
2,1988,10,100000,5,5,5,5,98
1,1980,4,30000,5,1,2,2,3
1,1993,4,50000,4,5,5,8,98
2,1982,6,0,4,4,5,5,4
2,1982,13,200000,4,1,4,6,9
2,1985,12,130000,4,1,3,2,4
2,1988,12,200000,4,5,5,5,6
2,1986,13,200000,4,5,6,6,10
1,1982,7,300000,4,5,3,2,98
1,1990,13,200000,5,4,2,2,6
1,1982,12,80000,2,1,2,3,6
1,1995,5,30000,2,5,6,5,4
2,1992,12,50000,4,5,8,10,6
2,1990,12,66000,4,5,5,3,6
1,1983,12,80000,3,2,5,8,6
1,1985,10,200000,3,5,5,6,6
2,1987,12,50000,4,2,4,4,11
2,1980,9,9999999,3,5,5,4,4
1,1987,13,130000,4,5,98,98,4
2,1990,10,100000,4,5,4,5,10
2,1990,12,80000,3,2,1,5,7
2,1988,10,40000,4,5,1,1,6
1,1984,12,230000,3,5,6,8,6
1,1981,12,100000,5,5,5,5,11
1,1985,12,120000,4,3,6,5,4
1,1987,12,300000,5,5,6,6,4
1,1997,10,15000,4,5,7,7,10
1,1981,12,350000,4,3,3,3,7
1,1992,10,100000,4,1,5,4,4
1,1982,11,1000000,4,4,6,6,6
1,1986,9,150000,5,2,5,4,3
1,1985,12,100000,5,5,5,8,6
2,1984,13,300000,3,5,5,5,6
1,1990,10,120000,4,5,5,4,4
1,1992,13,100000,3,5,4,4,98
1,1995,12,0,5,1,3,3,6
2,1985,11,70000,5,1,5,3,4
1,1985,13,600000,3,3,4,5,5
2,1998,12,0,3,5,5,5,9
1,1983,12,150000,4,5,5,5,4
1,1988,5,100000,3,5,5,5,5
2,1995,12,66000,5,1,7,8,6
1,1995,12,0,3,5,4,5,7
2,1984,12,120000,4,5,5,4,4
2,1986,12,200000,5,5,7,7,1
2,1987,13,190000,5,5,5,5,7
2,1997,10,5000,4,2,4,6,4
2,1997,10,0,5,3,6,6,7
2,1987,12,150000,4,5,4,2,4
2,1991,12,80000,4,5,5,5,6
1,1994,12,8000,3,1,5,3,4
1,1994,12,9999998,3,98,5,6,13
2,1986,12,100000,4,5,5,5,4
1,1993,11,400,5,5,3,6,3
1,1982,6,60000,5,1,5,5,6
1,1995,12,24000,4,5,4,6,13
2,1987,13,200000,5,1,6,5,6
1,1994,10,70000,5,1,5,4,4
